address,X,Y,type,source
"Храм Блаженной Ксении Петербургской, 2, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.8448319562483,66.8585865,amenity place_of_worship,Nominatim
"Детский сад ""Солнышко"" (корпус-2), Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.83586146240876,66.868523,amenity kindergarten,Nominatim
"Центр национальных культур, 17, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.8411494,66.8609695,amenity community_centre,Nominatim
"Яр-Салинская центральная районная больница, улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.83996190912472,66.859341,amenity hospital,Nominatim
"Детский сад ""Солнышко"" (корпус-1), улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.84302771427723,66.8592352,amenity kindergarten,Nominatim
"Почта России, 19, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.8410916,66.86134615,amenity post_office,Nominatim
"Школа-интернат им. Василия Давыдова, улица Мира, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.84589362186608,66.86136529999999,amenity school,Nominatim
"Жар-Пицца, 19, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.8411967,66.8613105,amenity cafe,Nominatim
"Сбербанк, 14А, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.84207861573259,66.8616364,amenity bank,Nominatim
"Аптека, 13А, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.8423721876033,66.8603121,amenity pharmacy,Nominatim
"Туберкулёзное отделение, улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.83149935548292,66.867709,amenity hospital,Nominatim
"Ялэмд, 4, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.844429,66.8590927,amenity restaurant,Nominatim
"Центральная библиотека, 6А, улица Мира, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.84664327455008,66.85892425,amenity library,Nominatim
"31, Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.8389283,66.8633406,amenity pharmacy,Nominatim
"Дом Культуры, 8, улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.84090474893912,66.86004405,amenity community_centre,Nominatim
"Поликлиника, 21, улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.8401495,66.8597395,amenity doctors,Nominatim
"Стационар, 19, улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.84031254128163,66.8591796,amenity hospital,Nominatim
"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.83438677104532,66.86902655,amenity parking,Nominatim
"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.8343869,66.8687304,amenity pharmacy,Nominatim
"Советская улица, Промзона Южная, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.8304775,66.8699639,amenity fuel,Nominatim
"Роддом, 21А, улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.839417,66.8600869,amenity hospital,Nominatim
"Градусник, улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.8366341,66.8619591,amenity pharmacy,Nominatim
"Кафе ""АЙС"", 33, улица Мира, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.8391887,66.8662097,amenity cafe,Nominatim
"14, улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.84019401653401,66.8614936,amenity school,Nominatim
"улица Худи Сэроко, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.8411437697123,66.85954004999999,amenity parking,Nominatim
"Молодёжная улица, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.83955545008885,66.86640349999999,amenity parking,Nominatim
"7, улица Мира, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.84350675,66.860952,amenity police,Nominatim
"улица Мира, Яр-Сале, муниципальный округ Ямальский район, Ямало-Ненецкий автономный округ, Уральский федеральный округ, 629700, Россия",70.84533257589257,66.860128,amenity parking,Nominatim
